param,interVariance,intraVariance,lgClusterArea,lgClusterSize,n_singlton,smClusterSize
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.009260036191911635,2.5726929567867853,-1.0270002497037256,-203.6,-4,5.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.029241173433498226,2.6778981300946327,-1.1066678230508196,-191.74999999999997,-2,4.0
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.04054211111111896,3.3242522720967878,-0.8957479069697659,-209.3,-4,4.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.011874527933718371,2.6272099630116896,-1.080736431067141,-192.6,-4,6.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 8}",-0.03500014445726204,2.841334564494141,-0.9297672619012234,-191.49999999999991,-4,4.0
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 13}",-0.039506662111323684,3.440161315006685,-0.8520133989252665,-189.64999999999992,-6,5.0
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 5}",-0.010188376816435337,2.4868995964670533,-0.9651368936566904,-174.04999999999995,-4,12.7
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 8}",-0.02688823480382673,2.807623386391094,-1.1345312483170342,-198.15,-1,14.55
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 13}",-0.04078707963033056,3.273916126889244,-0.9035599453030856,-184.45,-4,11.4
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 5}",-0.01715320082625355,2.7108423553667347,-1.0048479079755164,-181.15,-2,8.85
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 8}",-0.03699562984523723,2.8085485608338523,-0.9154513121340396,-185.64999999999992,-2,10.85
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 13}",-0.041134093480285,3.3350203592306102,-0.8332156172979394,-195.94999999999987,-3,8.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 5}",-0.01852300152177807,2.432754583736723,-0.8832662348688148,-185.45,0,16.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 8}",-0.04037573431181002,2.512507575035858,-0.8993202074147562,-177.3,0,23.55
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 13}",-0.055149167769389884,2.7690071636953557,-0.7159634068726098,-184.0,-1,16.85
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 5}",-0.05403645810121522,2.4152679839686386,-0.6425571112107937,-172.29999999999995,0,16.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 8}",-0.04778939920175211,2.719300310261677,-0.6966677105975081,-187.0,0,20.700000000000006
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 13}",-0.04468372414995032,3.3154797673586107,-0.7068852397011937,-178.49999999999991,-2,16.0
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.02648695719528721,2.3872130136042835,-1.0337073070393872,-199.79999999999993,-6,9.55
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.05053667928297089,2.7275203464467057,-0.8360003643570928,-202.89999999999995,-1,6.85
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.05310496675973736,3.3341726337207542,-0.8070193808216996,-186.24999999999991,-7,6.699999999999998
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.02798814607899541,2.551642225810949,-1.0473169995723994,-231.15,-5,5.0
